Reporting_Country,Flow,Commodity,Commodity_Type,Year,Value_Original,Value
Albania,Exports,A,Agricultural products,2006,"77,518,704",78
Algeria,Exports,A,Agricultural products,2006,"91,439,414",91
Angola,Exports,A,Agricultural products,2006,"62,368,753",62
Antigua and Barbuda,Exports,A,Agricultural products,2006,"1,260,128",1
Argentina,Exports,A,Agricultural products,2006,"21,351,235,088",21351
Armenia,Exports,A,Agricultural products,2006,"145,281,343",145
Aruba,Exports,A,Agricultural products,2006,"38,652,670",39
Australia,Exports,A,Agricultural products,2006,"22,178,304,648",22178
Austria,Exports,A,Agricultural products,2006,"11,861,887,426",11862
Azerbaijan,Exports,A,Agricultural products,2006,"365,513,293",366
Bahamas,Exports,A,Agricultural products,2006,"111,256,976",111
Bahrain,Exports,A,Agricultural products,2006,"60,201,623",60
Bangladesh,Exports,A,Agricultural products,2006,"885,563,841",886
Barbados,Exports,A,Agricultural products,2006,"82,193,039",82
Belarus,Exports,A,Agricultural products,2006,"1,844,415,400",1844
Belgium,Exports,A,Agricultural products,2006,"34,238,163,967",34238
Belize,Exports,A,Agricultural products,2006,"200,439,976",200
Benin,Exports,A,Agricultural products,2006,"184,646,650",185
Bolivia,Exports,A,Agricultural products,2006,"667,704,239",668
Bosnia and Herzegovina,Exports,A,Agricultural products,2006,"454,920,659",455
Botswana,Exports,A,Agricultural products,2006,"127,563,222",128
Brazil,Exports,A,Agricultural products,2006,"39,527,000,000",39527
Brunei Darussalam,Exports,A,Agricultural products,2006,"7,153,463",7
Bulgaria,Exports,A,Agricultural products,2006,"1,550,018,125",1550
Burundi,Exports,A,Agricultural products,2006,"45,129,347",45
Cabo Verde,Exports,A,Agricultural products,2006,"2,976,562",3
Cambodia,Exports,A,Agricultural products,2006,"79,709,001",80
Cameroon,Exports,A,Agricultural products,2006,"1,011,390,266",1011
Canada,Exports,A,Agricultural products,2006,"44,208,000,000",44208
Central African Republic,Exports,A,Agricultural products,2006,"30,254,728",30
Chile,Exports,A,Agricultural products,2006,"12,157,821,512",12158
China,Exports,A,Agricultural products,2006,"32,541,588,000",32542
Chinese Taipei,Exports,A,Agricultural products,2006,"4,359,534,144",4360
Colombia,Exports,A,Agricultural products,2006,"4,921,870,282",4922
Comoros,Exports,A,Agricultural products,2006,"2,233,312",2
Costa Rica,Exports,A,Agricultural products,2006,"2,371,668,892",2372
Côte d'Ivoire,Exports,A,Agricultural products,2006,"3,507,718,654",3508
Croatia,Exports,A,Agricultural products,2006,"1,520,368,156",1520
Cuba,Exports,A,Agricultural products,2006,"581,143,807",581
Cyprus,Exports,A,Agricultural products,2006,"237,879,380",238
Czech Republic,Exports,A,Agricultural products,2006,"4,715,407,627",4715
Denmark,Exports,A,Agricultural products,2006,"19,162,465,023",19162
Dominica,Exports,A,Agricultural products,2006,"14,362,817",14
Dominican Republic,Exports,A,Agricultural products,2006,"965,389,384",965
Ecuador,Exports,A,Agricultural products,2006,"3,945,389,463",3945
Egypt,Exports,A,Agricultural products,2006,"1,101,683,247",1102
El Salvador,Exports,A,Agricultural products,2006,"676,224,121",676
Estonia,Exports,A,Agricultural products,2006,"1,311,298,873",1311
Ethiopia,Exports,A,Agricultural products,2006,"908,468,083",908
Faeroe Islands,Exports,A,Agricultural products,2006,"592,225,135",592
Fiji,Exports,A,Agricultural products,2006,"340,160,480",340
Finland,Exports,A,Agricultural products,2006,"5,646,509,843",5647
France,Exports,A,Agricultural products,2006,"56,448,188,508",56448
French Polynesia,Exports,A,Agricultural products,2006,"28,283,743",28
FYR Macedonia,Exports,A,Agricultural products,2006,"404,210,306",404
Gabon,Exports,A,Agricultural products,2006,"454,150,321",454
Gambia,Exports,A,Agricultural products,2006,"9,748,930",10
Georgia,Exports,A,Agricultural products,2006,"254,359,455",254
Germany,Exports,A,Agricultural products,2006,"60,160,754,760",60161
Ghana,Exports,A,Agricultural products,2006,"1,615,568,125",1616
Greece,Exports,A,Agricultural products,2006,"4,735,532,669",4736
Greenland,Exports,A,Agricultural products,2006,"345,138,166",345
Grenada,Exports,A,Agricultural products,2006,"13,907,585",14
Guam,Exports,A,Agricultural products,2006,"1,000,000",1
Guatemala,Exports,A,Agricultural products,2006,"2,228,802,000",2229
Guinea,Exports,A,Agricultural products,2006,"110,566,586",111
Guyana,Exports,A,Agricultural products,2006,"338,604,926",339
Haiti,Exports,A,Agricultural products,2006,"28,980,000",29
Honduras,Exports,A,Agricultural products,2006,"1,132,899,920",1133
"Hong Kong, China",Exports,A,Agricultural products,2006,"4,688,244,925",4688
Hungary,Exports,A,Agricultural products,2006,"4,692,294,027",4692
Iceland,Exports,A,Agricultural products,2006,"1,856,936,829",1857
India,Exports,A,Agricultural products,2006,"12,452,317,389",12452
Indonesia,Exports,A,Agricultural products,2006,"17,907,000,000",17907
Iran,Exports,A,Agricultural products,2006,"2,911,262,325",2911
Iraq,Exports,A,Agricultural products,2006,"63,499,379",63
Ireland,Exports,A,Agricultural products,2006,"11,070,674,519",11071
Israel,Exports,A,Agricultural products,2006,"1,798,950,000",1799
Italy,Exports,A,Agricultural products,2006,"29,887,142,966",29887
Jamaica,Exports,A,Agricultural products,2006,"331,215,317",331
Japan,Exports,A,Agricultural products,2006,"6,469,453,000",6469
Jordan,Exports,A,Agricultural products,2006,"704,366,862",704
Kazakhstan,Exports,A,Agricultural products,2006,"1,299,485,994",1299
Kenya,Exports,A,Agricultural products,2006,"1,910,578,203",1911
Korea,Exports,A,Agricultural products,2006,"5,346,192,666",5346
Kuwait,Exports,A,Agricultural products,2006,"150,611,253",151
Kyrgyz Republic,Exports,A,Agricultural products,2006,"147,785,800",148
Latvia,Exports,A,Agricultural products,2006,"1,768,486,586",1768
Lebanese Republic,Exports,A,Agricultural products,2006,"306,809,524",307
Lesotho,Exports,A,Agricultural products,2006,"44,303,521",44
Libya,Exports,A,Agricultural products,2006,"23,267,898",23
Lithuania,Exports,A,Agricultural products,2006,"2,353,538,698",2354
Luxembourg,Exports,A,Agricultural products,2006,"1,061,683,697",1062
"Macao, China",Exports,A,Agricultural products,2006,"50,479,993",50
Madagascar,Exports,A,Agricultural products,2006,"370,773,757",371
Malawi,Exports,A,Agricultural products,2006,"571,622,275",572
Malaysia,Exports,A,Agricultural products,2006,"15,572,863,535",15573
Maldives,Exports,A,Agricultural products,2006,"133,592,925",134
Mali,Exports,A,Agricultural products,2006,"344,003,992",344
Malta,Exports,A,Agricultural products,2006,"164,593,083",165
Mauritius,Exports,A,Agricultural products,2006,"656,646,770",657
Mexico,Exports,A,Agricultural products,2006,"14,468,396,947",14468
Moldova,Exports,A,Agricultural products,2006,"470,956,210",471
Mongolia,Exports,A,Agricultural products,2006,"198,207,569",198
Montenegro,Exports,A,Agricultural products,2006,"73,951,657",74
Montserrat,Exports,A,Agricultural products,2006,"7,258",0
Morocco,Exports,A,Agricultural products,2006,"2,628,523,779",2629
Mozambique,Exports,A,Agricultural products,2006,"447,016,181",447
Namibia,Exports,A,Agricultural products,2006,"884,426,124",884
Nauru,Exports,A,Agricultural products,2006,"1,000,000",1
Nepal,Exports,A,Agricultural products,2006,"173,515,507",174
Netherlands,Exports,A,Agricultural products,2006,"72,351,743,170",72352
Netherlands Antilles,Exports,A,Agricultural products,2006,"23,807,936",24
New Caledonia,Exports,A,Agricultural products,2006,"30,744,570",31
New Zealand,Exports,A,Agricultural products,2006,"13,246,895,495",13247
Nicaragua,Exports,A,Agricultural products,2006,"842,797,000",843
Niger,Exports,A,Agricultural products,2006,"181,170,816",181
Nigeria,Exports,A,Agricultural products,2006,"246,941,606",247
Norway,Exports,A,Agricultural products,2006,"6,604,023,196",6604
Oman,Exports,A,Agricultural products,2006,"465,033,363",465
Pakistan,Exports,A,Agricultural products,2006,"2,210,007,964",2210
Panama,Exports,A,Agricultural products,2006,"1,095,590,449",1096
Paraguay,Exports,A,Agricultural products,2006,"1,530,918,904",1531
Peru,Exports,A,Agricultural products,2006,"3,812,203,969",3812
Philippines,Exports,A,Agricultural products,2006,"2,830,116,851",2830
Poland,Exports,A,Agricultural products,2006,"11,668,656,231",11669
Portugal,Exports,A,Agricultural products,2006,"4,793,951,070",4794
Qatar,Exports,A,Agricultural products,2006,"37,589,914",38
Romania,Exports,A,Agricultural products,2006,"1,760,599,528",1761
Russian Federation,Exports,A,Agricultural products,2006,"17,335,783,130",17336
Rwanda,Exports,A,Agricultural products,2006,"80,389,452",80
Saint Kitts and Nevis,Exports,A,Agricultural products,2006,"3,165,417",3
Saint Lucia,Exports,A,Agricultural products,2006,"35,054,727",35
Saint Vincent and the Grenadines,Exports,A,Agricultural products,2006,"29,417,617",29
Samoa,Exports,A,Agricultural products,2006,"14,851,423",15
Sao Tome and Principe,Exports,A,Agricultural products,2006,"3,683,936",4
Saudi Arabia,Exports,A,Agricultural products,2006,"1,636,595,984",1637
Senegal,Exports,A,Agricultural products,2006,"532,124,372",532
Serbia,Exports,A,Agricultural products,2006,"1,372,022,654",1372
Seychelles,Exports,A,Agricultural products,2006,"201,899,086",202
Singapore,Exports,A,Agricultural products,2006,"5,088,282,687",5088
Slovak Republic,Exports,A,Agricultural products,2006,"2,349,784,442",2350
Slovenia,Exports,A,Agricultural products,2006,"1,328,751,908",1329
Solomon Islands,Exports,A,Agricultural products,2006,"105,895,596",106
South Africa,Exports,A,Agricultural products,2006,"4,954,964,080",4955
Spain,Exports,A,Agricultural products,2006,"31,617,265,013",31617
Sri Lanka,Exports,A,Agricultural products,2006,"1,695,490,672",1695
Sudan,Exports,A,Agricultural products,2006,"423,688,092",424
Suriname,Exports,A,Agricultural products,2006,"42,699,998",43
Swaziland,Exports,A,Agricultural products,2006,"514,708,318",515
Sweden,Exports,A,Agricultural products,2006,"11,237,434,223",11237
Switzerland,Exports,A,Agricultural products,2006,"4,643,167,797",4643
Syrian Arab Republic,Exports,A,Agricultural products,2006,"2,133,088,875",2133
Tanzania,Exports,A,Agricultural products,2006,"743,935,916",744
Thailand,Exports,A,Agricultural products,2006,"21,552,064,331",21552
Togo,Exports,A,Agricultural products,2006,"104,373,435",104
Tonga,Exports,A,Agricultural products,2006,"4,845,078",5
Trinidad and Tobago,Exports,A,Agricultural products,2006,"327,567,573",328
Tunisia,Exports,A,Agricultural products,2006,"1,455,987,900",1456
Turkey,Exports,A,Agricultural products,2006,"8,364,480,946",8364
Uganda,Exports,A,Agricultural products,2006,"597,869,007",598
Ukraine,Exports,A,Agricultural products,2006,"5,131,538,415",5132
United Arab Emirates,Exports,A,Agricultural products,2006,"2,738,102,100",2738
United Kingdom,Exports,A,Agricultural products,2006,"23,820,155,180",23820
United States,Exports,A,Agricultural products,2006,"92,643,579,000",92644
Uruguay,Exports,A,Agricultural products,2006,"2,566,024,103",2566
Vanuatu,Exports,A,Agricultural products,2006,"20,020,151",20
Venezuela,Exports,A,Agricultural products,2006,"248,000,000",248
Viet Nam,Exports,A,Agricultural products,2006,"9,304,176,557",9304
World,Exports,A,Agricultural products,2006,"946,225,038,055",946225
Yemen,Exports,A,Agricultural products,2006,"287,167,498",287
Zambia,Exports,A,Agricultural products,2006,"330,933,450",331
Zimbabwe,Exports,A,Agricultural products,2006,"954,614,499",955
Albania,Exports,F,Fuels and mining products,2006,"125,597,048",126
Algeria,Exports,F,Fuels and mining products,2006,"53,943,586,216",53944
Angola,Exports,F,Fuels and mining products,2006,"31,203,978,831",31204
Antigua and Barbuda,Exports,F,Fuels and mining products,2006,"40,422,015",40
Argentina,Exports,F,Fuels and mining products,2006,"9,070,067,485",9070
Armenia,Exports,F,Fuels and mining products,2006,"225,253,373",225
Aruba,Exports,F,Fuels and mining products,2006,"4,622,651,674",4623
Australia,Exports,F,Fuels and mining products,2006,"63,331,722,112",63332
Austria,Exports,F,Fuels and mining products,2006,"7,783,903,362",7784
Azerbaijan,Exports,F,Fuels and mining products,2006,"12,230,693,479",12231
Bahamas,Exports,F,Fuels and mining products,2006,"106,291,321",106
Bahrain,Exports,F,Fuels and mining products,2006,"10,803,935,294",10804
Bangladesh,Exports,F,Fuels and mining products,2006,"128,246,372",128
Barbados,Exports,F,Fuels and mining products,2006,"211,356,231",211
Belarus,Exports,F,Fuels and mining products,2006,"7,660,182,300",7660
Belgium,Exports,F,Fuels and mining products,2006,"43,232,601,271",43233
Belize,Exports,F,Fuels and mining products,2006,"45,055,865",45
Benin,Exports,F,Fuels and mining products,2006,"2,297,872",2
Bolivia,Exports,F,Fuels and mining products,2006,"2,761,285,731",2761
Bosnia and Herzegovina,Exports,F,Fuels and mining products,2006,"980,315,018",980
Botswana,Exports,F,Fuels and mining products,2006,"755,774,833",756
Brazil,Exports,F,Fuels and mining products,2006,"26,459,000,000",26459
Brunei Darussalam,Exports,F,Fuels and mining products,2006,"7,364,341,185",7364
Bulgaria,Exports,F,Fuels and mining products,2006,"5,042,540,621",5043
Burundi,Exports,F,Fuels and mining products,2006,"3,878,675",4
Cabo Verde,Exports,F,Fuels and mining products,2006,"9,068,437",9
Cambodia,Exports,F,Fuels and mining products,2006,"986,754",1
Cameroon,Exports,F,Fuels and mining products,2006,"2,378,970,403",2379
Canada,Exports,F,Fuels and mining products,2006,"106,366,000,000",106366
Central African Republic,Exports,F,Fuels and mining products,2006,"17,275,289",17
Chile,Exports,F,Fuels and mining products,2006,"39,116,797,941",39117
China,Exports,F,Fuels and mining products,2006,"38,604,785,000",38605
Chinese Taipei,Exports,F,Fuels and mining products,2006,"15,936,423,538",15936
Colombia,Exports,F,Fuels and mining products,2006,"9,955,469,015",9955
Costa Rica,Exports,F,Fuels and mining products,2006,"159,302,520",159
Côte d'Ivoire,Exports,F,Fuels and mining products,2006,"3,017,399,248",3017
Croatia,Exports,F,Fuels and mining products,2006,"2,022,404,515",2022
Cuba,Exports,F,Fuels and mining products,2006,"1,594,415,993",1594
Cyprus,Exports,F,Fuels and mining products,2006,"333,779,725",334
Czech Republic,Exports,F,Fuels and mining products,2006,"4,649,926,566",4650
Denmark,Exports,F,Fuels and mining products,2006,"12,129,030,601",12129
Dominica,Exports,F,Fuels and mining products,2006,"2,799,942",3
Dominican Republic,Exports,F,Fuels and mining products,2006,"356,316,300",356
Ecuador,Exports,F,Fuels and mining products,2006,"7,634,548,260",7635
Egypt,Exports,F,Fuels and mining products,2006,"7,918,490,050",7918
El Salvador,Exports,F,Fuels and mining products,2006,"153,673,690",154
Estonia,Exports,F,Fuels and mining products,2006,"1,865,846,831",1866
Ethiopia,Exports,F,Fuels and mining products,2006,"6,210,142",6
Faeroe Islands,Exports,F,Fuels and mining products,2006,"13,762,111",14
Fiji,Exports,F,Fuels and mining products,2006,"173,097,147",173
Finland,Exports,F,Fuels and mining products,2006,"7,645,128,384",7645
France,Exports,F,Fuels and mining products,2006,"34,328,950,503",34329
French Polynesia,Exports,F,Fuels and mining products,2006,"307,267",0
FYR Macedonia,Exports,F,Fuels and mining products,2006,"327,355,256",327
Gabon,Exports,F,Fuels and mining products,2006,"4,774,300,266",4774
Gambia,Exports,F,Fuels and mining products,2006,"101,652",0
Georgia,Exports,F,Fuels and mining products,2006,"232,329,187",232
Germany,Exports,F,Fuels and mining products,2006,"65,271,519,433",65272
Ghana,Exports,F,Fuels and mining products,2006,"94,340,965",94
Greece,Exports,F,Fuels and mining products,2006,"4,822,240,589",4822
Greenland,Exports,F,Fuels and mining products,2006,"30,044,957",30
Grenada,Exports,F,Fuels and mining products,2006,"45,026",0
Guatemala,Exports,F,Fuels and mining products,2006,"467,157,000",467
Guinea,Exports,F,Fuels and mining products,2006,"432,703,738",433
Guyana,Exports,F,Fuels and mining products,2006,"47,767,514",48
Haiti,Exports,F,Fuels and mining products,2006,0,0
Honduras,Exports,F,Fuels and mining products,2006,"141,022,178",141
"Hong Kong, China",Exports,F,Fuels and mining products,2006,"7,075,376,253",7075
Hungary,Exports,F,Fuels and mining products,2006,"2,845,895,903",2846
Iceland,Exports,F,Fuels and mining products,2006,"912,479,246",912
India,Exports,F,Fuels and mining products,2006,"27,732,992,252",27733
Indonesia,Exports,F,Fuels and mining products,2006,"37,610,000,000",37610
Iran,Exports,F,Fuels and mining products,2006,"65,999,526,467",66000
Iraq,Exports,F,Fuels and mining products,2006,"29,204,201,003",29204
Ireland,Exports,F,Fuels and mining products,2006,"2,451,647,126",2452
Israel,Exports,F,Fuels and mining products,2006,"626,490,000",626
Italy,Exports,F,Fuels and mining products,2006,"23,894,023,815",23894
Jamaica,Exports,F,Fuels and mining products,2006,"1,483,995,966",1484
Japan,Exports,F,Fuels and mining products,2006,"20,339,503,000",20340
Jordan,Exports,F,Fuels and mining products,2006,"580,519,906",581
Kazakhstan,Exports,F,Fuels and mining products,2006,"32,313,459,938",32313
Kenya,Exports,F,Fuels and mining products,2006,"340,792,419",341
Korea,Exports,F,Fuels and mining products,2006,"28,977,428,037",28977
Kuwait,Exports,F,Fuels and mining products,2006,"53,243,143,470",53243
Kyrgyz Republic,Exports,F,Fuels and mining products,2006,"178,385,530",178
Latvia,Exports,F,Fuels and mining products,2006,"551,301,686",551
Lebanese Republic,Exports,F,Fuels and mining products,2006,"251,233,675",251
Lesotho,Exports,F,Fuels and mining products,2006,0,0
Libya,Exports,F,Fuels and mining products,2006,"38,768,042,758",38768
Lithuania,Exports,F,Fuels and mining products,2006,"3,590,939,017",3591
Luxembourg,Exports,F,Fuels and mining products,2006,"1,083,537,630",1084
"Macao, China",Exports,F,Fuels and mining products,2006,"188,410,405",188
Madagascar,Exports,F,Fuels and mining products,2006,"114,129,743",114
Malawi,Exports,F,Fuels and mining products,2006,"1,688,150",2
Malaysia,Exports,F,Fuels and mining products,2006,"24,206,019,610",24206
Maldives,Exports,F,Fuels and mining products,2006,"1,337,378",1
Mali,Exports,F,Fuels and mining products,2006,"9,560,955",10
Malta,Exports,F,Fuels and mining products,2006,"23,068,473",23
Mauritius,Exports,F,Fuels and mining products,2006,"20,437,626",20
Mexico,Exports,F,Fuels and mining products,2006,"44,559,834,474",44560
Moldova,Exports,F,Fuels and mining products,2006,"38,052,102",38
Mongolia,Exports,F,Fuels and mining products,2006,"914,122,104",914
Montenegro,Exports,F,Fuels and mining products,2006,"341,670,602",342
Montserrat,Exports,F,Fuels and mining products,2006,"765,375",1
Morocco,Exports,F,Fuels and mining products,2006,"1,636,956,947",1637
Mozambique,Exports,F,Fuels and mining products,2006,"1,775,316,258",1775
Namibia,Exports,F,Fuels and mining products,2006,"881,874,006",882
Nepal,Exports,F,Fuels and mining products,2006,"43,635",0
Netherlands,Exports,F,Fuels and mining products,2006,"87,656,349,772",87656
Netherlands Antilles,Exports,F,Fuels and mining products,2006,"7,039,421",7
New Caledonia,Exports,F,Fuels and mining products,2006,"406,279,797",406
New Zealand,Exports,F,Fuels and mining products,2006,"1,752,221,800",1752
Nicaragua,Exports,F,Fuels and mining products,2006,"28,975,000",29
Niger,Exports,F,Fuels and mining products,2006,"164,065,226",164
Nigeria,Exports,F,Fuels and mining products,2006,"58,098,293,645",58098
Norway,Exports,F,Fuels and mining products,2006,"91,580,145,418",91580
Oman,Exports,F,Fuels and mining products,2006,"18,099,363,663",18099
Pakistan,Exports,F,Fuels and mining products,2006,"937,737,164",938
Panama,Exports,F,Fuels and mining products,2006,"51,573,133",52
Paraguay,Exports,F,Fuels and mining products,2006,"1,644,968,000",1645
Peru,Exports,F,Fuels and mining products,2006,"13,178,858,845",13179
Philippines,Exports,F,Fuels and mining products,2006,"3,198,774,430",3199
Poland,Exports,F,Fuels and mining products,2006,"10,791,975,865",10792
Portugal,Exports,F,Fuels and mining products,2006,"4,085,697,397",4086
Qatar,Exports,F,Fuels and mining products,2006,"30,585,613,100",30586
Romania,Exports,F,Fuels and mining products,2006,"5,000,882,439",5001
Russian Federation,Exports,F,Fuels and mining products,2006,"223,187,799,696",223188
Rwanda,Exports,F,Fuels and mining products,2006,"48,572,649",49
Saint Kitts and Nevis,Exports,F,Fuels and mining products,2006,"90,119",0
Saint Lucia,Exports,F,Fuels and mining products,2006,"21,045,367",21
Saint Vincent and the Grenadines,Exports,F,Fuels and mining products,2006,"159,749",0
Samoa,Exports,F,Fuels and mining products,2006,"504,440",1
Sao Tome and Principe,Exports,F,Fuels and mining products,2006,0,0
Saudi Arabia,Exports,F,Fuels and mining products,2006,"189,018,915,870",189019
Senegal,Exports,F,Fuels and mining products,2006,"473,972,614",474
Serbia,Exports,F,Fuels and mining products,2006,"951,416,261",951
Seychelles,Exports,F,Fuels and mining products,2006,"161,126,104",161
Singapore,Exports,F,Fuels and mining products,2006,"39,375,567,544",39376
Slovak Republic,Exports,F,Fuels and mining products,2006,"3,915,154,975",3915
Slovenia,Exports,F,Fuels and mining products,2006,"1,930,568,254",1931
Solomon Islands,Exports,F,Fuels and mining products,2006,"44,970",0
South Africa,Exports,F,Fuels and mining products,2006,"19,972,192,765",19972
Spain,Exports,F,Fuels and mining products,2006,"17,939,460,659",17939
Sri Lanka,Exports,F,Fuels and mining products,2006,"131,170,377",131
Sudan,Exports,F,Fuels and mining products,2006,"4,817,014,566",4817
Suriname,Exports,F,Fuels and mining products,2006,"55,965,135",56
Swaziland,Exports,F,Fuels and mining products,2006,"20,099,115",20
Sweden,Exports,F,Fuels and mining products,2006,"14,472,984,811",14473
Switzerland,Exports,F,Fuels and mining products,2006,"8,927,553,067",8928
Syrian Arab Republic,Exports,F,Fuels and mining products,2006,"4,531,548,200",4532
Tanzania,Exports,F,Fuels and mining products,2006,"208,881,467",209
Thailand,Exports,F,Fuels and mining products,2006,"8,471,019,706",8471
Togo,Exports,F,Fuels and mining products,2006,"39,578,732",40
Tonga,Exports,F,Fuels and mining products,2006,"14,601",0
Trinidad and Tobago,Exports,F,Fuels and mining products,2006,"10,762,722,255",10763
Tunisia,Exports,F,Fuels and mining products,2006,"1,663,334,000",1663
Turkey,Exports,F,Fuels and mining products,2006,"6,389,052,305",6389
Uganda,Exports,F,Fuels and mining products,2006,"62,548,769",63
Ukraine,Exports,F,Fuels and mining products,2006,"5,210,448,061",5210
United Arab Emirates,Exports,F,Fuels and mining products,2006,"75,111,642,456",75112
United Kingdom,Exports,F,Fuels and mining products,2006,"58,845,589,606",58846
United States,Exports,F,Fuels and mining products,2006,"70,596,356,000",70596
Uruguay,Exports,F,Fuels and mining products,2006,"171,140,061",171
Vanuatu,Exports,F,Fuels and mining products,2006,"158,603",0
Venezuela,Exports,F,Fuels and mining products,2006,"59,876,969,000",59877
Viet Nam,Exports,F,Fuels and mining products,2006,"9,983,193,495",9983
World,Exports,F,Fuels and mining products,2006,"2,314,812,971,041",2314813
Yemen,Exports,F,Fuels and mining products,2006,"6,132,089,467",6132
Zambia,Exports,F,Fuels and mining products,2006,"3,075,066,058",3075
Zimbabwe,Exports,F,Fuels and mining products,2006,"496,854,340",497
Albania,Exports,M,Manufactures,2006,"585,329,205",585
Algeria,Exports,M,Manufactures,2006,"573,994,232",574
Angola,Exports,M,Manufactures,2006,"595,852,416",596
Antigua and Barbuda,Exports,M,Manufactures,2006,"31,101,877",31
Argentina,Exports,M,Manufactures,2006,"14,775,710,626",14776
Armenia,Exports,M,Manufactures,2006,"577,452,519",577
Aruba,Exports,M,Manufactures,2006,"54,348,106",54
Australia,Exports,M,Manufactures,2006,"22,202,735,501",22203
Austria,Exports,M,Manufactures,2006,"116,240,518,522",116241
Azerbaijan,Exports,M,Manufactures,2006,"363,664,337",364
Bahamas,Exports,M,Manufactures,2006,"447,000,000",447
Bahrain,Exports,M,Manufactures,2006,"796,407,000",796
Bangladesh,Exports,M,Manufactures,2006,"10,682,760,399",10683
Barbados,Exports,M,Manufactures,2006,"215,377,844",215
Belarus,Exports,M,Manufactures,2006,"9,921,236,200",9921
Belgium,Exports,M,Manufactures,2006,"288,324,955,780",288325
Belize,Exports,M,Manufactures,2006,"9,204,756",9
Benin,Exports,M,Manufactures,2006,"30,765,335",31
Bolivia,Exports,M,Manufactures,2006,"432,990,695",433
Bosnia and Herzegovina,Exports,M,Manufactures,2006,"1,886,377,433",1886
Botswana,Exports,M,Manufactures,2006,"3,573,381,329",3573
Brazil,Exports,M,Manufactures,2006,"68,411,000,000",68411
Brunei Darussalam,Exports,M,Manufactures,2006,"253,631,353",254
Bulgaria,Exports,M,Manufactures,2006,"8,039,013,407",8039
Burundi,Exports,M,Manufactures,2006,"9,220,978",9
Cabo Verde,Exports,M,Manufactures,2006,"7,953,835",8
Cambodia,Exports,M,Manufactures,2006,"3,469,001,262",3469
Cameroon,Exports,M,Manufactures,2006,"108,376,114",108
Canada,Exports,M,Manufactures,2006,"215,382,000,000",215382
Central African Republic,Exports,M,Manufactures,2006,"52,803,416",53
Chile,Exports,M,Manufactures,2006,"7,404,152,319",7404
China,Exports,M,Manufactures,2006,"895,389,672,000",895390
Chinese Taipei,Exports,M,Manufactures,2006,"202,366,575,930",202367
Colombia,Exports,M,Manufactures,2006,"8,677,516,746",8678
Comoros,Exports,M,Manufactures,2006,"346,874",0
Costa Rica,Exports,M,Manufactures,2006,"5,376,375,539",5376
Côte d'Ivoire,Exports,M,Manufactures,2006,"1,231,100,639",1231
Croatia,Exports,M,Manufactures,2006,"6,800,000,532",6800
Cuba,Exports,M,Manufactures,2006,"729,340,200",729
Cyprus,Exports,M,Manufactures,2006,"753,150,561",753
Czech Republic,Exports,M,Manufactures,2006,"85,002,798,799",85003
Denmark,Exports,M,Manufactures,2006,"58,498,935,041",58499
Dominica,Exports,M,Manufactures,2006,"24,309,105",24
Dominican Republic,Exports,M,Manufactures,2006,"5,113,023,094",5113
Ecuador,Exports,M,Manufactures,2006,"1,110,734,368",1111
Egypt,Exports,M,Manufactures,2006,"2,841,349,655",2841
El Salvador,Exports,M,Manufactures,2006,"2,874,867,198",2875
Estonia,Exports,M,Manufactures,2006,"6,491,393,490",6491
Ethiopia,Exports,M,Manufactures,2006,"62,332,304",62
Faeroe Islands,Exports,M,Manufactures,2006,"23,978,996",24
Fiji,Exports,M,Manufactures,2006,"133,805,084",134
Finland,Exports,M,Manufactures,2006,"60,584,352,640",60584
France,Exports,M,Manufactures,2006,"396,275,511,800",396276
French Polynesia,Exports,M,Manufactures,2006,"157,720,371",158
FYR Macedonia,Exports,M,Manufactures,2006,"1,665,543,998",1666
Gabon,Exports,M,Manufactures,2006,"220,720,241",221
Gambia,Exports,M,Manufactures,2006,"1,612,749",2
Georgia,Exports,M,Manufactures,2006,"399,522,875",400
Germany,Exports,M,Manufactures,2006,"952,528,955,506",952529
Ghana,Exports,M,Manufactures,2006,"767,688,740",768
Greece,Exports,M,Manufactures,2006,"10,624,613,016",10625
Greenland,Exports,M,Manufactures,2006,"28,562,322",29
Grenada,Exports,M,Manufactures,2006,"11,417,941",11
Guatemala,Exports,M,Manufactures,2006,"3,315,835,000",3316
Guinea,Exports,M,Manufactures,2006,"20,183,672",20
Guyana,Exports,M,Manufactures,2006,"97,630,183",98
Haiti,Exports,M,Manufactures,2006,"479,730,000",480
Honduras,Exports,M,Manufactures,2006,"3,145,639,729",3146
"Hong Kong, China",Exports,M,Manufactures,2006,"304,748,076,468",304748
Hungary,Exports,M,Manufactures,2006,"65,844,939,942",65845
Iceland,Exports,M,Manufactures,2006,"658,007,703",658
India,Exports,M,Manufactures,2006,"79,731,020,248",79731
Indonesia,Exports,M,Manufactures,2006,"44,732,000,000",44732
Iran,Exports,M,Manufactures,2006,"6,073,549,530",6074
Iraq,Exports,M,Manufactures,2006,"93,175,590",93
Ireland,Exports,M,Manufactures,2006,"91,464,076,050",91464
Israel,Exports,M,Manufactures,2006,"44,298,030,000",44298
Italy,Exports,M,Manufactures,2006,"357,688,736,797",357689
Jamaica,Exports,M,Manufactures,2006,"131,593,499",132
Japan,Exports,M,Manufactures,2006,"587,027,980,000",587028
Jordan,Exports,M,Manufactures,2006,"3,595,027,726",3595
